date,platform,sort_type,rank,product_name,brand,volume_ml,regular_price,discount,sales_price,rating,review_count,main_ingredients,ingredients,ing_source,url
2026-09-11,oliveyoung,신상품순,1,[탄력케어] 락토-피디알엔 4% + 비9 아이크림 15ml,디오디너리,15.0,,,14500,,,"락토바실러스발효물, 엽산, 필름 포머 기술","정제수*, 시어버터오일, 글리세린, 풀루란, 에틸헥실올리베이트, 락토바실러스발효물(1%)*, 소듐디엔에이(0.02%)*, 폴릭애씨드(B9, 0.1%), 허니로커스트씨추출물, 트레할로오스, 솔비톨, 폴리글리세릴-4올리에이트, 폴리아크릴레이트크로스폴리머-6, 아라비아고무나무검, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 소듐아크릴레이트코폴리머, 글리세릴카프릴레이트, 트라이소듐에틸렌다이아민다이석시네이트, 토코페롤, 소듐파이테이트, 파이틱애씨드, 소듐하이드록사이드, 1,2-헥산다이올*, 에틸헥실글리세린*, 페녹시에탄올, 클로페네신. *Lacto-PDRN™(4%)",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000267242&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=1
2026-09-11,oliveyoung,신상품순,2,[여배우 물광크림] 메디큐브 PDRN 핑크 콜라겐 캡슐크림 55g 기획 (+4.5g*2ea+앰플 마스크 1ea),메디큐브,,33300.0,29%,23800,4.7,"1,856","PDRN, 아데노신, 나이아신아마이드","[PDRN 캡슐크림] ]정제수, 글리세린, 나이아신아마이드, 메틸프로판다이올, 프로판다이올, 1,2-헥산다이올, 다이프로필렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 글리세레스-26, 알지닌, 카보머, 세테아릴알코올, 세테아릴올리베이트, 에틸헥실팔미테이트, 솔비탄올리베이트, 스쿠알란, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 시메티콘, 에틸헥실글리세린, 지치뿌리추출물, 아데노신, 해바라기씨오일, 폴리아크릴레이트-13, 소듐디엔에이(200ppm), 다이소듐이디티에이, 폴리아이소부텐, 글리세릴스테아레이트, 하이드롤라이즈드스클레로튬검, 서양배추출물, 알간나무커넬오일, 다마스크장미꽃수, 오리스뿌리추출물, 폴리솔베이트20, 멜론추출물, 솔비탄아이소스테아레이트, 서양송악잎/줄기추출물, 글루타티온, 소듐하이알루로네이트, 옥틸도데칸올, 연어알추출물, 하이드록시프로필트라이모늄하이알루로네이트, 토코페롤, 하이드로제네이티드레시틴, 세라마이드엔피, 사이아노코발아민, 티옥틱애씨드, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드콜라겐추출물(0.1ppm), 하이드롤라이즈드하이알루로닉애씨드, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 카프릴릴글라이콜, 하이알루로닉애씨드, 팔미토일펜타펩타이드-4, 팔미토일헥사펩타이드-12, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트 [PDRN 앰플마스크] 정제수, 글리세린, 다이프로필렌글라이콜, 나이아신아마이드, 1,2-헥산다이올, 글리세레스-26, 에리스리톨, 글리세릴글루코사이드, 알지닌, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 메틸글루세스-20, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 잔탄검, 아데노신, 시어버터, 카프릴릭/카프릭트라이글리세라이드, 올리브오일, 하이드로제네이티드레시틴, 스쿠알란, 부틸렌글라이콜, 다이소듐이디티에이, 하이드록시에틸셀룰로오스, 폴리글루타믹애씨드, 인도멀구슬나무꽃추출물, 홀리바질잎추출물, 사이아노코발아민, 인도멀구슬나무잎추출물, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 소듐디엔에이(10ppm), 바이오사카라이드검-1, 울금뿌리추출물, 참산호말추출물, 세라마이드엔피, 콜레스테롤, 다마스크장미꽃오일, 피토스핑고신, 프로판다이올, 소듐하이알루로네이트, 레시틴, 콜라겐추출물, 하이드록시프로필트라이모늄하이알루로네이트, 글라이코리피드, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 아세틸헥사펩타이드-8(0.5ppb), 글루타티온, 하이알루로닉애씨드, 올리고펩타이드-29(0.15ppb), 올리고펩타이드-32(0.15ppb), 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 팔미토일펜타펩타이드-4(0.015ppb), 팔미토일트라이펩타이드-1(0.015ppb)",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000265815&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=2
2026-09-11,oliveyoung,신상품순,3,[9/11 하루특가][대용량] 파티온 노스카나인 트러블 크림 75ml 기획(+5ml),파티온,80.0,45000.0,37%,28500,4.7,49,"히알루론산, 판테놀, 알란토인","정제수, 글리세린, 메도우폼씨오일, 카프릴릭/카프릭트라이글리세라이드, 비닐다이메티콘, 다이글리세린, 폴리글리세릴-3다이스테아레이트, 세테아릴알코올, 1,2-헥산다이올, 펜틸렌글라이콜, 클로렐라 불가리스추출물, 소듐헤파린, 쑥잎추출물, 병풀추출물, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드쌀겨오일, 하이드로제네이티드레시틴, 세테아릴올리베이트, 소듐스테아로일글루타메이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-2스테아레이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아이소도데케인, 하이드록시아세토페논, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글루코오스, 솔비탄올리베이트, 글리세릴스테아레이트, 판테놀, 글리세릴스테아레이트시트레이트, 부틸렌글라이콜, 프룩토올리고사카라이드, 프룩토오스, 스테아릭애씨드, 석시닉애씨드, 다이메티콘/비닐다이메티콘크로스폴리머, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 소듐파이테이트, 솔비탄아이소스테아레이트, 폴리글리세릴-10스테아레이트, 다이프로필렌글라이콜, 세라마이드엔피, 알란토인, 베타-글루칸, 폴리글리세릴-10라우레이트, 세라마이드엔에스, 콜레스테롤, 에틸헥실글리세린, 피토스핑고신, 세라마이드에이피, 세라마이드에이에스, 스쿠알란, 세라마이드이오피, 카프릴릴/카프릴글루코사이드, 스테아릴알코올, 잔탄검",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000265234&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=3
2026-09-11,oliveyoung,신상품순,4,[우주먼지 에디션]션리 다시마 글레이즈드 크림 50g 기획 (+우주먼지쇼퍼백+스티커 3ea),션리,,28000.0,20%,22400,5.0,"7,457",다시마,"정제수, 다시마즙 (20%), 사이클로헥사실록세인, 글리세린, 하이드로제네이티드폴리(C6-14올레핀), 다이카프릴릴카보네이트, 메틸프로판다이올, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 나이아신아마이드, 비닐다이메티콘, 1,2-헥산다이올, 마그네슘설페이트, 하이드록시아세토페논, 부틸렌글라이콜, 옥수수전분, 만니톨, 마이크로크리스탈린셀룰로오스, 에틸헥실글리세린, 하이드로제네이티드레시틴, 아데노신, 다이소듐이디티에이, 잇꽃꽃추출물, 덱스트린, 치자추출물, 하이드로제네이티드폴리데센, 소듐하이알루로네이트, 크로뮴옥사이드그린, 무화과추출물, 하이드록시프로필스타치포스페이트, 아이소노닐아이소노나노에이트, 폴리글리세릴-10스테아레이트, 토코페롤, 세테아릴알코올, 하이드롤라이즈드식물성단백질, 말토덱스트린, 소듐스테아로일글루타메이트, 팔미틱애씨드, 스테아릭애씨드, 감태추출물, 참미역추출물, 호스테일켈프추출물, 자이언트켈프추출물, 달맞이꽃꽃추출물, 대왕소나무잎추출물, 칡뿌리추출물, 당느릅나무뿌리추출물, 잇꽃씨오일, 하이드로제네이티드포스파티딜콜린, 달맞이꽃오일, 스쿠알란, 폴리쿼터늄-51",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000265040&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=4
2026-09-11,oliveyoung,신상품순,5,레이어랩 판테놀 인텐시브 크림 플러스 60ml 더블 기획,레이어랩,120.0,60000.0,27%,43900,4.9,529,판테놀,"정제수, 다이메티콘, 스쿠알란(10%), 판테놀(7%), 펜타에리스리틸테트라에틸헥사노에이트, 글리세린, 합성왁스, 세틸피이지/피피지-10/1다이메티콘, 펜타에리스리틸테트라아이소스테아레이트, 나이아신아마이드, 부틸렌글라이콜, 트라이베헤닌, 프로판다이올, 폴리글리세릴-4올리에이트, 마그네슘설페이트, 암모늄락테이트,마데카소사이드, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 실리카다이메틸실릴레이트, 다이스테아다이모늄헥토라이트, 1,2-헥산다이올, 다이메티콘/피이지-10/15크로스폴리머, 글리세릴카프릴레이트, 하이드록시아세토페논, 마그네슘스테아레이트, 프로필렌카보네이트, 에틸헥실글리세린, 다이소듐이디티에이, 다이프로필렌글라이콜, 소듐시트레이트, 토코페롤, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트, 아데노신, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 발린, 트레오닌, 프롤린,아이소류신, 히스티딘, 메티오닌, 시스테인, 폴리글리세릴-6올리에이트, 폴리하이드록시스테아릭애씨드, 카보머, 소듐클로라이드",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000264167&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=5
2026-09-11,oliveyoung,신상품순,6,[산리오 특가/리뷰이벤트/헬로키티] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml 기획 (+헬로키티 러기지택),에스네이처,90.0,34000.0,36%,21700,4.8,"7,383","블루아가베잎추출물, 알란토인, 히알루론산","정제수, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 블루아가베잎추출물, 알란토인, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 알지닌, 메틸트라이메티콘, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드로제네이티드폴리(C6-14올레핀), 메틸다이아이소프로필프로피온아마이드, 다이메티콘/비닐다이메티콘크로스폴리머, 솔비탄아이소스테아레이트, 다이소듐이디티에이",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000264149&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=6
2026-09-11,oliveyoung,신상품순,7,[산리오 특가/리뷰이벤트/헬로키티] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블기획 (+헬로키티 키캡키링),에스네이처,120.0,43000.0,49%,21900,4.8,"38,214","스쿠알란, 판테놀, 히알루론산","정제수, 스쿠알란(150,000ppm), 글리세린, 1,2-헥산다이올, 베타인, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드콜라겐, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 아세틸헥사펩타이드-8, 아데노신, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 알란토인, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 글루코오스, 부틸렌글라이콜, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263782&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=7
2026-09-11,oliveyoung,신상품순,8,AHC 프로 샷 히알루로 딥 볼륨 5 캡슐 인퓨즈드 아이크림 포 페이스 30ml,AHC,30.0,27000.0,19%,21900,,,히알루론산,"정제수, 글리세린, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 펜틸렌글라이콜, 메틸프로판다이올, 판테놀, 1,2-헥산다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴 리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 세테아릴 올리베이트, 하이드로제네이티드폴리데센, 옥틸도데칸올, 솔비탄올리베이트, 트로메타민, 하이드로제네이티드레시틴, 하이드롤라이즈드콜라겐, 에스신, 하이드로제네이티드쌀겨오일, 하이드롤라이즈드하이알루로닉애씨드, 에틸헥실글리세린, 향료, 실리카, 아라비아고무나무검, 아데노신, 소듐파이테이트, 폴리글리세릴-10스테아레이트, 베타-글루칸, 백미꽃추출물, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 카페인, 멘틸락테이트, 접시꽃추출물, 토코페롤, 글리세릴리놀리에이트, 수크로오스팔미테이트, 해바라기씨오일, 다이프로필렌글라이콜, 소듐하이알루로네이트, 개구리밥추출물, 소듐하이알루로네이트크로스폴리머, 콜레스테롤, 폴리글리세릴-10라우레이트, 키토산, 세라마이드엔피",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263740&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=8
2026-09-11,oliveyoung,신상품순,9,VT 피디알엔 캡슐 크림 100 50ml 기획 (+4.5ml*3ea),VT,63.5,34000.0,38%,21000,4.8,374,피디알엔,"정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 글리세레스-26, 다이프로필렌글라이콜, 나이아신아마이드, 1,2-헥산다이올, 판테놀, 시어버터, 스쿠알란, 글리세릴글루코사이드, 카보머, 알지닌, 폴리글리세릴-2스테아레이트, 해바라기씨오일, C13-15알케인, 아라키딜알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세릴스테아레이트, 세테아릴알코올, 스테아릴알코올, 베헤닐알코올, 에틸헥실글리세린, C12-16알코올, 아라키딜글루코사이드, 트로메타민, 아데노신, 다이메티콘/비닐다이메티콘크로스폴리머, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트, 팔미틱애씨드, 하이드로제네이티드레시틴, 카페릴로로필, 잔탄검, 로즈마리추출물, 락토바실러스발효용해물, 마트리카리아꽃오일, 부틸렌글라이콜, 글루코오스, 산양삼추출물, 소듐디엔에이(0.5ppm), 다이메틸실란올하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드세라마이드, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트다이메틸실란올, 소듐아세틸레이티드하이알루로네이트, 폴리글리세릴-10라우레이트, 트라이펩타이드-1, 아세틸테트라펩타이드-2, 아세틸테트라펩타이드-5, 카퍼트라이펩타이드-1, 팔미토일트라이펩타이드-1, 팔미토일펜타펩타이드-4, 헥사펩타이드-11, 헥사펩타이드-9, 팔미토일트라이펩타이드-5",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263735&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=9
2026-09-11,oliveyoung,신상품순,10,[9월 올영픽] 토리든 다이브인 저분자 히알루론산 수딩 크림 100ml 더블 기획 (+메쉬백) (시나모롤),토리든,100.0,42000.0,33%,28000,4.9,"3,564","히알루론산, 알란토인, 판테놀","정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 하이드로제네이티드다이데센, 카프릴릭/카프릭트라이글리세라이드, 판테놀, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(500ppm), 알란토인, 엑토인, 감초추출물, 트레할로오스, 버지니아풍년화추출물, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 2,3-부탄다이올, 세테아릴알코올, C14-22알코올, C12-20알킬글루코사이드, 펜틸렌글라이콜, 솔비탄아이소스테아레이트, 카프릴릴메티콘, 클레리추출물, 라벤더꽃추출물, 히아신스전초추출물, 마트리카리아꽃추출물, 수레국화꽃추출물, 보리지추출물, 다이소듐이디티에이, 카보머, 트로메타민, 잔탄검, 글루타티온, 말라카이트추출물, 글루코닉애씨드, 에틸헥실글리세린",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263681&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=10
