date,platform,sort_type,rank,product_name,brand,volume_ml,regular_price,discount,sales_price,rating,review_count,main_ingredients,ingredients,ing_source,url
2026-09-13,oliveyoung,신상품순,1,[NEW/기프트]랑콤 제니피끄 세럼/레네르지 콜라겐 크림 50ml 선물 기획 2종,랑콤,50,,,200000,,,"비피다발효용해물, 소듐하이알루로네이트, 아데노신","세럼 : 정제수 비피다발효용해물 글리세린 펜틸렌글라이콜 다이메티콘 부틸렌글라이콜 옥틸도데칸올 만노오스 소듐하이알루로네이트 하이드록시아세토페논 카프릴릴글라이콜 암모늄폴리아크릴로일다이메틸타우레이트 알파-글루칸올리고사카라이드 다이포타슘글리시리제이트 테트라소듐글루타메이트다이아세테이트 효모추출물 소듐카복시메틸베타-글루칸 아데노신 잔탄검 야콘뿌리즙 소듐벤조에이트 말토덱스트린 시트릭애씨드 아세틱애씨드 락틱애씨드 향료 살리실로일피토스핑고신 락토바실러스 / 크림 : 정제수 글리세린 메틸프로판다이올 스쿠알란 다이카프릴릴에터 다이메티콘 베타인 다이메티콘/비닐다이메티콘크로스폴리머 펜타에리스리틸다이스테아레이트 세테아릴알코올 세테아릴글루코사이드 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트 부틸렌글라이콜 소듐폴리아크릴레이트 1,2-헥산다이올 소듐스테아로일글루타메이트 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트 하이드록시아세토페논 향료 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머 에틸헥실글리세린 폴리글리세릴-10미리스테이트 베타-글루칸 하이드롤라이즈드옥수수전분 아데노신 카보머 소듐락테이트 폴리솔베이트60 수크로오스 페녹시에탄올 폴리솔베이트20 소듐하이알루로네이트 수용성콜라겐(0.01%) 솔비탄아이소스테아레이트 리모넨 벤질알코올 제라니올 토코페롤 알지닌 카퍼트라이펩타이드-1 팔미토일트라이펩타이드-1 카프릴릴글라이콜 팔미토일테트라펩타이드-7 황색4호 소듐벤조에이트 적색504호",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000267902&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
2026-09-13,oliveyoung,신상품순,2,[결/톤/탄력] 케이시크릿 서울 1988 레틴알 흑삼 세럼 30ml,케이시크릿,30,,,24000,,,"레틴알, 흑삼추출물, 나이아신아마이드","정제수, 글리세린, 다이프로필렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 나이아신아마이드, 부틸렌글라이콜, 메틸글루세스-20, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 흑삼추출물 (6,329.8 ppm), 하이드로제네이티드레시틴, 솔비탄스테아레이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 마카다미아씨오일, 카보머, 트로메타민, 베타인, 토코페롤, 에틸헥실글리세린, 해바라기씨오일, 아데노신, 다이소듐이디티에이, 콜레스테롤, 폴리글리세릴-10올리에이트, 유채스테롤, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, 레틴알 (200 ppm), 실리카, 알루미늄/마그네슘하이드록사이드스테아레이트, 포타슘세틸포스페이트, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트, 우엉뿌리추출물, 천궁뿌리추출물, 참마뿌리추출물, 모란뿌리추출물, 지황뿌리추출물, 3-O-에틸아스코빅애씨드, 바쿠치올, 에스에이치-올리고펩타이드-1, 에스에이치-올리고펩타이드-2, 에스에이치-폴리펩타이드-1",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000267370&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=2
2026-09-13,oliveyoung,신상품순,3,[NEW 진정세럼] 오브제 아크샷 트러블 진정 세럼 50ml,오브제,50,19900,7%,18500,,,세라마이드,"정제수, 글리세린, 부틸렌글라이콜, 트라이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 판테놀, 1,2-헥산다이올, 다이에톡시에틸석시네이트, 징크피씨에이, 소듐폴리아크릴로일다이메틸타우레이트, 하이드록시에틸셀룰로오스, 다이포타슘글리시리제이트, 소듐시트레이트, 시트릭애씨드, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 아데노신, 소듐파이테이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 세라마이드엔피, 글리세릴스테아레이트에스이, 하이드로제네이티드레시틴, 베헤닐알코올, 소듐서팩틴, 알란토인, 콜레스테롤, 두충나무껍질추출물, 피토스핑고신, 병풀추출물, 비사보롤, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 소듐디엔에이",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000267249&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=3
2026-09-13,oliveyoung,신상품순,4,[10초물광버블] 메디큐브 PDRN 핑크 콜라겐 버블 세럼 95ml 기획 (+젤리브러쉬),메디큐브,95,28500,11%,25300,4.6,512,"PDRN, 콜라겐","정제수, 나이아신아마이드, 해바라기씨오일, 글리세린, 하이드로제네이티드폴리(C6-14올레핀), C12-14알케스-12, 1,2-헥산다이올, 프로판다이올, 아이소도데케인, 에틸헥실팔미테이트, 세틸에틸헥사노에이트, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 트라이에틸시트레이트, 아데노신, 토코페롤, 다이소듐이디티에이, 사이아노코발아민, 콜라겐, 만주자작나무껍질/잎추출물, 소듐디엔에이, 피마자씨오일, 스타아니스열매/씨오일, 레몬그라스잎오일, 콜라겐추출물, 잔탄검, 레티놀, 판테놀, 하이드롤라이즈드콜라겐, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 세라마이드엔피, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 세린, 우유단백질추출물, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 글루타믹애씨드, 아스파틱애씨드, 소듐아세틸레이티드하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000265816&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=4
2026-09-13,oliveyoung,신상품순,5,[NEW] 온그리디언츠 바쿠글로우 레티날 부스터 샷 0.2퍼센트 30ml,온그리디언츠,30,32000,7%,29800,5,51,"레티날, 프로바이오틱스 유래 유산균, 바쿠치올","정제수, 글리세린, 프로판다이올, 부틸렌글라이콜, 다이에톡시에틸석시네이트, 다이프로필렌글라이콜, 나이아신아마이드, 메틸프로판다이올, 1,2-헥산다이올, 흰무늬엉겅퀴씨추출물, 비타민나무오일, 레틴알(0.2%), 소듐하이알루로네이트, 마카다미아씨오일, 백미꽃추출물, 접시꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 트레할로오스, 암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머, 피브이피, 카프릴릭/카프릭트라이글리세라이드, 하이드록시아세토페논, 트로메타민, 소듐디앤에이, 다이에틸헥실시링질리덴말로네이트, 하이드로제네이티드레시틴, 에틸헥실글리세린, 칼슘알루미늄보로실리케이트, 아데노신, 폴리글리세릴-10미리스테이트, 바이오사카라이드검-4, 바이오사카라이드검-1, 소듐파이테이트, 바쿠치올, 다이포타슘글리시리제이트, 셀룰로오스, 세라마이드엔피, 폴리글루타믹애씨드, 콜레스테롤, 폴리글리세릴-10라우레이트, 유채스테롤, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 실리카, 토코페롤, 알루미늄/마그네슘하이드록사이드스테아레이트, 포타슘세틸포스페이트, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트, 소듐락테이트, 폴리솔베이트20, 하이드록시프로필트라이모늄하이알루로네이트, 팔미토일트라이펩타이드-1, 소듐아세틸레이티드하이알루로네이트, 팔미토일테트라펩타이드-7, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 카보머, 카페인, 잔탄검, 다이소듐이디티에이",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000265385&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=5
2026-09-13,oliveyoung,신상품순,6,아벤느 클리낭스 파워 컨트롤 세럼 30ml,아벤느,30,,,33000,,,코메도클라스틴,"온천수(아벤느 온천수), 아이소프로필알코올, 피이지-6, 글리세린, 나이아신아마이드, 흰무늬엉겅퀴열매추출물, 실리카, 폴리아크릴레이트-13, 폴리아이소부텐, 폴리솔베이트20, 솔비탄아이소스테아레이트, 정제수",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000265333&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=6
2026-09-13,oliveyoung,신상품순,7,[우주먼지 에디션]션리 다시마 그리너리 세럼 35ml 기획 (+우주먼지 스마트톡+스티커 3ea),션리,35,30000,20%,24000,5,"6,870","다시마추출물, 톳추출물, 겔리듐 카르틸라기네움추출물","정제수, 다시마즙 (20%), 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 메틸프로판다이올, 메틸글루세스-20, 소듐카보머, 프로판다이올, 폴리글리세릴-10라우레이트, 알란토인, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 세틸에틸헥사노에이트, 세테아릴알코올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 잔탄검, 아데노신, 폴리솔베이트60, 카프릴릴/카프릭트라이글리세라이드, 글리세릴스테아레이트, 향료, 인도멀구슬나무잎추출물, 스테아릭애씨드, 세테아릴올리베이트, 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 다이소듐이디티에이, 솔비탄올리베이트, 시메티콘, 사이클로펜타실록세인, 아이소헥사데칸, 인도멀구슬나무꽃추출물, 카보머, 알지닌, 폴리솔베이트80, 솔비톨, 솔비탄올리에이트, 조류추출물, 다시마추출물 (0.0002%), 락토바실러스발효물, 톳추출물, 겔리듐 카르틸라기네움추출물, 수용성콜라겐, 하이드롤라이즈드콜라겐, 아텔로콜라겐",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000265037&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=7
2026-09-13,oliveyoung,신상품순,8,토니모리 세라마이드 하이드레이팅 버블 세럼 100ml,토니모리,100,,,21000,5,27,"콜라겐수, 세라마이드","콜라겐수, 글리세린, 폴리글리세린-3, 정제수, 프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 하이드록시에틸우레아, C12-13알케스-9, 폴리글리세릴-4카프레이트, 암모품폴리아크릴로일다이메틸타우레이트, 부틸렌글라이콜, 알란토인, 병풀추출물, 스타이렌/브이피코폴리머, 에틸헥실글리세린, 아데노신, 리모넨, 리날룰, 카프릴릭/카프릭트라이글리세라이드, 소듐파이테이트, 바오밥나무씨오일, 하이드로제네이티드레시틴, 스클레로튬검, 라반딘오일, 세라마이드엔피(95.8 ppm), 멕시칸주니퍼오일, 센티드제라늄꽃오일, 라벤더오일, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 다이메틸실란올하이알루로네이트, 시트랄, 소듐하이알루로네이트, 포타슘하이알루로네이트, 하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트다이메틸실란올, 소듐아세틸레이티드하이알루로네이트, 세라마이드에이에스(3.4 ppm), 세라마이드엔에스(3.4 ppm), 콜레스테롤, 레몬껍질오일, 스테아릭애씨드, 세라마이드에이피(1.7 ppm), 세라마이드이오피(1.7 ppm), 마카다미아씨오일, 올레익애씨드, 스쿠알란, 토코페롤, 폴리데센, 유차스테롤",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000264888&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=8
2026-09-13,oliveyoung,신상품순,9,[리센느 원이PICK/1+1기획] 바이오던스 포어 퍼펙팅 콜라겐 펩타이드 세럼 30ml 리필 기획,바이오던스,60,58500,55%,26200,4.9,"3,447","콜라겐, 펩타이드, 히알루론산","콜라겐수(781,963ppm), 정제수, 글리세린, 트라이프로필렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 트레할로오스, 소듐폴리아크릴로일다이메틸타우레이트, 부틸렌글라이콜, 알란토인, 폴리글리세릴-10라우레이트, 소듐폴리아크릴레이트, 에틸헥실글리세린, 하이드롤라이즈드하이알루로닉애씨드, 아데노신, 잔탄검, 폴리쿼터늄-51, 다이소듐이디티에이, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 카프릴릴글라이콜, 피브이엠/엠에이코폴리머, 사이아노코발아민, 황련뿌리추출물, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 토코페롤, 프로판다이올, 사카라이드아이소머레이트, 소듐아세틸레이티드하이알루로네이트, 콜라겐추출물(100ppb), 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 알지닉애씨드, 실란트라이올, 포타슘하이알루로네이트, 하이드롤라이즈드엘라스틴, 엘라스틴, 수용성엘라스틴, 트라이펩타이드-1(0.1ppb), 아세틸헥사펩타이드-8(0.1ppb), 카퍼트라이펩타이드-1(0.1ppb), 팔미토일트라이펩타이드-5(0.1ppb), 에스에이치-올리고펩타이드-1(0.1ppb), 펜타펩타이드-4(0.1ppb), 팔미토일트라이펩타이드-38(0.1ppb), 헥사펩타이드-9(0.1ppb), 헥사펩타이드-12(0.1ppb), 팔미토일펜타펩타이드-4(0.1ppb)",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000264389&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=9
2026-09-13,oliveyoung,신상품순,10,[1등미백앰플] 메디큐브 PDRN 핑크 펩타이드 앰플 30ml 한정기획 (+리필팩 50ml+앰플 10ml),메디큐브,90,46000,47%,24600,4.8,"15,755","PDRN, 나이아신아마이드","정제수,글리세린,다이프로필렌글라이콜,아이소프로필미리스테이트,글리세레스-26,나이아신아마이드,1,2-헥산다이올,소듐디엔에이,부틸렌글라이콜,폴리글리세린-3,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리아이소부텐,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,이리추출물,트로메타민,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,피브이엠/엠에이코폴리머,에틸헥실글리세린,카프릴릴글라이콜,향료,인도멀구슬나무잎추출물,아데노신,카프릴릴/카프릴글루코사이드,솔비탄올리에이트,인도멀구슬나무꽃추출물,소듐하이알루로네이트,다이소듐이디티에이,울금뿌리추출물,사이아노코발아민,하이드롤라이즈드콜라겐,유비퀴논,홀리바질잎추출물,참산호말추출물,팔미토일펜타펩타이드-4,팔미토일트라이펩타이드-1,팔미토일테트라펩타이드-7,카퍼트라이펩타이드-1,아세틸헥사펩타이드-8,연어알추출물,아텔로콜라겐",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000264301&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=10
