date,platform,sort_type,rank,product_name,brand,volume_ml,regular_price,discount,sales_price,rating,review_count,main_ingredients,ingredients,ing_source,url
2026-09-14,oliveyoung,판매순,1,[9월 올영픽/산리오캐릭터즈 콜라보] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획(+시나모롤 파우치),아누아,30,57500,53%,27000,4.8,"23,973","히알루론산, PDRN","정제수, 부틸렌글라이콜, 프로판다이올, 글리세린, 하이드롤라이즈드하이알루로닉애씨드(29,049ppm), 1,2-헥산다이올, 나이아신아마이드, 글리세릴올리에이트, 라우릴글루코사이드, 미리스틸글루코사이드, 폴리글리세릴-6라우레이트, 하이드로제네이티드레시틴, 글루타티온, 하이드롤라이즈드콜라겐, 소듐하이알루로네이트(800ppm), 황련뿌리추출물, 아데노신, 소듐디엔에이(100ppm), 하이알루로닉애씨드(30ppm), 하이드롤라이즈드소듐하이알루로네이트(30ppm), 하이드록시프로필트라이모늄하이알루로네이트(30ppm), 포타슘하이알루로네이트(30ppm), 소듐하이알루로네이트크로스폴리머(30ppm), 소듐아세틸레이티드하이알루로네이트(1ppm), 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 가지열매추출물, 홀리바질잎추출물, 시트릭애씨드, 울금뿌리추출물, 참산호말추출물, 소듐시트레이트, 펜틸렌글라이콜",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262602&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
2026-09-14,oliveyoung,판매순,2,더마팩토리 나이아신아마이드 20% 세럼 30ml,더마팩토리,30,6000,10%,5400,4.8,"18,661","다마스크장미꽃수, 나이아신아마이드, 글리세린","다마스크장미꽃수, 나이아신아마이드, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 에틸헥실글리세린, 트로메타민, 잔탄검, 다이소듐이디티에이",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225217&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=2
2026-09-14,oliveyoung,판매순,3,[9월 올영픽] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 기획 (+50ml 리필+자석인형) (시나모롤),토리든,50,36000,29%,25600,4.9,"3,878","히알루론산, 알란토인, 판테놀","정제수, 부틸렌글라이콜, 글리세린, 다이프로필렌글라이콜, 1,2-헥산다이올, 판테놀, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드(1,000ppm), 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 알란토인, 엑토인, 감초추출물, 2,3-부탄다이올, 트레할로오스, 베타인, 프로판다이올, 쇠비름추출물, 버지니아풍년화잎추출물, 마데카소사이드, 마데카식애씨드, 세라마이드엔피, 베타-글루칸, 말라카이트추출물, 콜레스테롤, 펜틸렌글라이콜, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 폴리글리세릴-10라우레이트, 잔탄검, 트로메타민, 카보머, 에틸헥실글리세린, 황금추출물, 모란뿌리추출물",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263664&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=3
2026-09-14,oliveyoung,판매순,4,[24시간파우더] 넘버즈인 1번 판토텐산 스킨케어100 블러파우더 기획 (+퍼프 1개),넘버즈인,,22000,37%,13900,4.8,"20,986",판토텐산,"실리카, 다이메티콘, 옥수수전분, 알루미늄전분옥테닐석시네이트, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 마이카, 다이메티콘/비닐다이메티콘크로스폴리머, 카프릴릭/카프릭트라이글리세라이드, 옥틸도데실스테아로일스테아레이트, 칼라민, 마카다미아씨오일, 병풀추출물, 판토테닉애씨드, 징크피씨에이, 카프릴릴글라이콜, 나이아신아마이드, 에틸헥실글리세린, 다이포타슘글리시리제이트, 마데카소사이드, 토코페롤",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231822&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=4
2026-09-14,oliveyoung,판매순,5,[속건조필수템] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+60ml 리필+수딩크림 30ml),웰라쥬,190,50000,38%,30900,4.8,"22,741","히알루론산, 판테놀","앰플: 정제수, 프로판다이올, 펜틸렌글라이콜, 글리세린, 1,2-헥산다이올, 판테놀, 메틸프로판다이올, 소듐아크릴릭애씨드/엠에이코폴리머, 부틸렌글라이콜, 참마뿌리추출물, 잔탄검, 소듐시트레이트, 에틸헥실글리세린, 소듐하이알루로네이트(1,000ppm), 글라이코실트레할로오스, 하이드로제네이티드스타치하이드롤리세이트, 시트릭애씨드, 라피노오스, 아데노신, 레시틴, 트라이소듐에틸렌다이아민다이석시네이트, 카프릴릴글라이콜, 사카라이드아이소머레이트, 폴리쿼터늄-51, 말라카이트추출물, 알지닌, 소듐디엔에이, 갈랑가갈랑갈추출물, 바이오사카라이드검-1, 사이아노코발아민, 토코페롤, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 하이드롤라이즈드하이알루로닉애씨드(0.100052ppm), 하이드롤라이즈드소듐하이알루로네이트(0.1ppm), 수크로오스라우레이트, 소듐스테아로일글루타메이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글라이신, 세린, 히스티딘, 돌콩추출물, 라이소레시틴, 플로레틴, 테트라하이드로피페린, 다이메틸아이소소바이드, 소듐하이알루로네이트크로스폴리머(2.08ppb), 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 올레일알코올, 베타-글루칸, 하이드록시프로필트라이모늄하이알루로네이트(0.012ppb), 하이알루로닉애씨드(0.001ppb), 소듐아세틸레이티드하이알루로네이트(0.0002ppb) 수딩 크림: 아데노신, 토코페롤, 시트릭애씨드, 하이드롤라이즈드하이알루로닉애씨드(1ppm), 소듐하이알루로네이트크로스폴리머(0.1981ppm), 소듐하이알루로네이트(0.52ppb), 하이드록시프로필트라이모늄하이알루로네이트(0.012ppb), 하이알루로닉애씨드(0.001ppb), 소듐아세틸레이티드하이알루로네이트(0.0002ppb)",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261423&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=5
2026-09-14,oliveyoung,판매순,6,[헬로키티 테리백 증정/리뷰이벤트/산리오] 에스네이처 아쿠아 스쿠알란 세럼 50ml 리필기획(+리필50ml+파우치),에스네이처,100,35000,40%,20900,4.8,"16,538",스쿠알란,"정제수, 글리세린, 부틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 베타인, 다시마추출물, 한련초잎추출물, 버지니아풍년화추출물, 소듐하이알루로네이트, 하이드로제네이티드레시틴, 판테놀, 알란토인, 프룩토올리고사카라이드, 베타-글루칸, 하이드롤라이즈드하이알루로닉애씨드, 스쿠알란, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 다이프로필렌글라이콜, 토코페롤, 에틸헥실글리세린, 카보머, 트로메타민, 잔탄검, 다이소듐이디티에이",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000264146&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=6
2026-09-14,oliveyoung,판매순,7,[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 60ml,디오디너리,60,,,15700,4.7,"13,912","나이아신아마이드, 징크","정제수, 나이아신아마이드(10%), 펜틸렌글라이콜, 징크피씨에이(징크로서,1%), 다이메틸아이소소바이드, 타마린드씨검, 잔탄검, 아이소세테스-20, 에톡시다이글라이콜, 페녹시에탄올, 클로페네신",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158615&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=7
2026-09-14,oliveyoung,판매순,8,[단독기획/모공탄력] 셀리맥스 더 비타 A 레티날 샷 타이트닝 부스터 15ml 기획(+3ml),셀리맥스,18,30000,30%,20900,4.8,"4,127",레틴알,"정제수, 부틸렌글라이콜, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 세테아릴알코올, 나이아신아마이드, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 폴리프로필실세스퀴옥세인, 판테놀, 세테아릴올리베이트, 세테아릴글루코사이드, 솔비탄올리베이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 레시틴, 카보머, 알지닌, 다이메티콘/비닐다이메티콘크로스폴리머, 토코페롤, 레틴알(0.1%), 잔탄검, 에틸헥실글리세린, 아데노신, 솔비탄아이소스테아레이트, 소듐락테이트, 하이드롤라이즈드해면, 다이소듐이디티에이, 폴리솔베이트20, 아스코빅애씨드, 글루코오스, 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250199&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=8
2026-09-14,oliveyoung,판매순,9,[산리오캐릭터즈 에디션] 메디힐 마데카소사이드 더마 세럼 50+50mL(+폼폼푸린 스마트톡),메디힐,100,43000,43%,24500,4.9,"5,022","마데카소사이드, 나이아신아마이드, 판테놀","정제수, 글리세린, 부틸렌글라이콜, 프로판다이올, 나이아신아마이드, 아이소펜틸다이올, 1,2-헥산다이올, 글리세릴폴리메타크릴레이트, 판테놀, 베타인, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 다이페닐다이메티콘, 트로메타민, 마데카소사이드(1,080 ppm), 트라이에틸헥사노인, 잔탄검, 에틸헥실글리세린, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 병풀추출물, 서양배추출물, 연필향나무오일, 병풀잎추출물, 베타-글루칸, 다마스크장미꽃수, 멜론추출물, 오리스뿌리추출물, 서양송악잎/줄기추출물, 호호바씨오일, 광곽향오일, 불가리스쑥오일, 로즈마리잎오일, 토코페롤, 다이프로필렌글라이콜, 펜틸렌글라이콜, 소듐하이알루로네이트크로스폴리머, 카프릴릴/카프릴글루코사이드, 마데카식애씨드(0.04 ppb), 아시아티코사이드, 아시아틱애씨드, 세라마이드엔피",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262436&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=9
2026-09-14,oliveyoung,판매순,10,[올영단독/속보습케어] 스킨앤랩 베리어덤 링거 앰플70ml(+70ml) 더블기획,스킨앤랩,140,40000,30%,28000,5,"13,826","락토바실러스발효용해물, 소듐하이알루로네이트, 판테놀","정제수, 프로판다이올, 글리세린, 1,2-헥산다이올, 클로렐라 불가리스추출물, 소듐하이알루로네이트, 락토바실러스발효용해물, 판테놀, 글라이코실트레할로오스, 글루코오스, 부틸렌글라이콜, 하이드로제네이티드스타치하이드롤리세이트, 프룩토올리고사카라이드, 프룩토오스, 폴리쿼터늄-51, 글리세릴글루코사이드, 사카라이드아이소머레이트, 에틸헥실글리세린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알란토인, 하이드록시프로필트라이모늄하이알루로네이트, 트로메타민, 덱스트린, 소듐파이테이트, 소듐클로라이드, 베타-글루칸, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 사이아노코발아민, 시트릭애씨드, 소듐시트레이트, 소듐바이카보네이트, 칼슘클로라이드, 포타슘클로라이드, 토코페롤, 잔탄검, 치자추출물",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213267&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=10
