date,platform,sort_type,rank,product_name,brand,volume_ml,regular_price,discount,sales_price,rating,review_count,main_ingredients,ingredients,ing_source,url
2026-09-11,oliveyoung,신상품순,24,[고강도레티날] 닥터디퍼런트 레티날 1500 시그니처 크림 30g,닥터디퍼런트,,68000.0,23%,52200,4.6,18,레티날,"정제수, 세틸에틸헥사노에이트, 글리세린, 스쿠알란, 잇꽃씨오일, 시어버터, 유채스테롤, 콜레스테롤, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, 1,2-헥산다이올, 폴리글레시릴-10올리에이트, 소듐하이알루로네이트, 하이드로제네이티드레시틴, 폴리글루타믹애씨드, 세라마이드엔피, 레틴알(0.15%), 스테아릭애씨드, 레티놀, 토코페롤, 올레익애씨드, 아데노신, 다이소듐이디티에이, 레티닐팔미테이트, 해바라기씨오일",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262882&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=24
2026-09-11,oliveyoung,판매순,3,[장벽바이오크림] 지피덤 셀트리온EGF 스킨베리어 인텐시브 크림 80ml 기획 (+크림15ml+앰플1ml*3ea),지피덤,98.0,38000.0,48%,19800,5.0,"3,781","EGF, 세라마이드엔피, 아데노신","[지피덤 이지에프 스킨 베리어 인텐시브 크림] 정제수, 글리세린, 망고씨버터, 세테아릴알코올, 세틸알코올, 하이드로제네이티드폴리데센, 다이카프릴릴카보네이트, 카카오씨버터, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 나이아신아마이드, 세틸에틸헥사노에이트, 부틸렌글라이콜, 글리세릴스테아레이트, 프로판다이올, C12-16알코올, 1,2-헥산다이올, 판테놀, 라피노오스, 팔미틱애씨드, 하이드로제네이티드레시틴, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세릴카프릴레이트, 토코페롤, 해바라기씨오일, 카프릴릭/카프릭트라이글리세라이드, 잔탄검, 아데노신, 캐모마일꽃오일, 다이소듐이디티에이, 폴리쿼터늄-51, 세라마이드엔피, 측백나무추출물, 옥틸도데칸올, 비터오렌지꽃추출물, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 유채스테롤, 소듐피씨에이, 스테아릭애씨드, 올리브오일, 벤토나이트, 양까막까치밥나무씨오일, 사이클로헥실글리세린, 리날릴아세테이트, 해바라기씨오일불검화물, 다이프로필렌글라이콜, 올리브오일데실에스터, 하이드록시아세토페논, 피토스핑고신, 시트릭애씨드, 다이올레오일피지-트라이모늄클로라이드, 풍선덩굴꽃/잎/덩굴추출물, 에스에이치-올리고펩타이드-1(1 ppm), 폴리락틱애씨드, 폴리글리세릴-10다이아이소스테아레이트, 스쿠알란, 세라마이드엔에스, 콜레스테롤, 클로렐라 불가리스추출물, 세라마이드에이에스, 세라마이드에이피, 소듐디엔에이, 로즈마리잎추출물, 메나다이온, 씨솔트, 세라마이드이오피 [지피덤 이지에프 스킨 베리어 하이드로 앰플] 정제수, 프로판다이올, 글리세린, 나이아신아마이드, 비닐다이메티콘, 1,2-헥산다이올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이프로필렌글라이콜, 알란토인, 폴리글리세릴-4카프레이트, 하이드록시아세토페논, 잔탄검, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 카보머, 다이포타슘글리시리제이트, 트로메타민, 아데노신, 다이소듐이디티에이, 세라마이드엔피, 옥틸도데칸올, 유채스테롤, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 소듐피씨에이, 세테아릴알코올, 스테아릭애씨드, 올리브오일, 벤토나이트, 양까막까치밥나무씨오일, 해바라기씨오일불검화물, 올리브오일데실에스터, 피토스핑고신, 시트릭애씨드, 사이클로헥실글리세린, 토코페롤, 풍선덩굴꽃/잎/덩굴추출물, 해바라기씨오일, 하이드롤라이즈드익스텐신, 부틸렌글라이콜, 폴리락틱애씨드, 스쿠알란, 세라마이드엔에스, 알로에베라잎추출물, 콜레스테롤, 다이올레오일피지-트라이모늄클로라이드, 소듐디엔에이, 클로렐라 불가리스추출물, 세라마이드에이피, 세라마이드에이에스, 로즈마리잎추출물, 에스에이치-올리고펩타이드-1(0.1 ppm), 씨솔트, 세라마이드이오피",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248363&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=3
2026-09-11,oliveyoung,판매순,19,[눈가&목주름케어] 바이오힐보 3D 리프팅 아이&링클 크림 25ml (더블/트리플),바이오힐보,50.0,,,52000,4.8,"2,735","아데노신, 프로테오글리칸, 펩타이드","정제수, 락토바실러스발효용해물, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 다이아이소스테아릴말레이트, 세테아릴알코올, 세테아릴올리베이트, 락토바실러스발효물, 프룩토올리고사카라이드, 프룩탄, 이눌린, 판테놀, 베타인, 베타-글루칸, 아데노신, 사포닌, 수용성프로테오글리칸, 아세틸테트라펩타이드-5, 노나펩타이드-1, 아세틸테트라펩타이드-9, 아세틸헥사펩타이드-1, 아세틸헥사펩타이드-8, 팔미토일트라이펩타이드-8, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 카퍼트라이펩타이드-1, 트라이펩타이드-1, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일헥사펩타이드-12, 펜타펩타이드-3, 헥사펩타이드-9, 올리고펩타이드-2, 다시마추출물, 한련초잎추출물, 맥아추출물, 오일팜오일, 하이드로제네이티드레시틴, 폴리글리세린-3, 폴리메틸실세스퀴옥세인, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, 솔비탄올리베이트, 스테아릴다이메티콘, 1,2-헥산다이올, 부틸렌글라이콜, 비닐다이메티콘, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 다이메티콘/비닐다이메티콘크로스폴리머, 하이드록시아세토페논, 옥타데센, 칸데릴라왁스, 다이프로필렌글라이콜, 폴리아크릴레이트-13, 에틸헥실글리세린, 잔탄검, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 하이드로제네이티드폴리아이소부텐, 솔비탄아이소스테아레이트, 폴리글리세릴-10미리스테이트, 다이소듐이디티에이, 폴리글리세릴-10라우레이트, 에틸헥실팔미테이트, 하이드롤라이즈드하이알루로닉애씨드, 사이아노코발아민, 알지닌, 카보머, 말토덱스트린, 토코페롤, 프로판다이올, 소듐포스페이트, 카프릴릴글라이콜, 알진, 바이오사카라이드검-4, 덱스트란, 미네랄솔트, 다이소듐포스페이트, 향료",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206572&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=19
2026-09-11,oliveyoung,신상품순,24,[9월 올영픽/모공결데일리앰플] 라로슈포제 에빠끌라 울트라 컨센트레이티드 세럼 30ml (+에빠끌라 폼 50ml),라로슈포제,80.0,51000.0,20%,40800,4.8,"2,977","나이아신아마이드, 락틱애씨드, 살리실릭애씨드",[에빠끌라 세럼] 정제수 변성알코올 글리세린 프로판다이올 나이아신아마이드 락틱애씨드 하이드록시에틸피페라진에탄설포닉애씨드 하이드록시아세토페논 소듐하이드록사이드 하이드록시프로필구아 살리실릭애씨드 파이틱애씨드 [에빠끌라 폼] 정제수 글리세린 미리스틱애씨드 포타슘하이드록사이드 글리세릴스테아레이트에스이 스테아릭애씨드 라우릭애씨드 팔미틱애씨드 코코-글루코사이드 테트라소듐이디티에이 살리실릭애씨드 향료,html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262987&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=24
2026-09-11,oliveyoung,판매순,4,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml),아누아,60.0,39000.0,42%,22500,4.8,"17,714","피디알엔, 히알루론산","[피디알엔 세럼] 하이드롤라이즈드하이알루로닉애씨드(29,049ppm), 나이아신아마이드, 하이드롤라이즈드콜라겐, 소듐하이알루로 네이트(800ppm), 아데노신, 소듐디엔에이(100ppm), 하이알 루로닉애씨드(30ppm), 하이드롤라이즈드소듐하이알루로네이 트(30ppm), 하이드록시프로필트라이모늄하이알루로네이트 (30ppm), 포타슘하이알루로네이트(30ppm), 소듐하이알루 로네이트크로스폴리머(30ppm), 소듐아세틸레이티드하이알 루로네이트(1ppm), 시트릭애씨드 * 피디알엔: 소듐디엔에이 [피디알엔 크림] 소듐디엔에이, 하이드롤라이즈드콜라겐, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 다이메틸실란올하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트다이메틸실란올, 소듐아세틸레이티드하이알루로네이트",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231894&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=4
2026-09-11,oliveyoung,판매순,17,[9월올영픽/산리오콜라보] 메이크프렘 NMN 퍼밍 엑스퍼트 앰플 50ml 기획 (+20ml+카드지갑+스마트톡),메이크프렘,70.0,34000.0,36%,21900,4.9,"3,527",,"정제수, 글리세린, 다이프로필렌글라이콜, 스쿠알란, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 나이아신아마이드, 부틸렌글라이콜, 베타인, 니코틴아마이드모노뉴클레오타이드(10,000ppm), 메틸프로판다이올, 폴리솔베이트60, 글리세릴스테아레이트, 글리세릴스테아레이트에스이, 폴리메틸실세스퀴옥세인, 아라키딜알코올, C14-22알코올, 카보머, 베헤닐알코올, 알지닌, 하이드로제네이티드캐스터오일/세바식애씨드코폴리머, 아라키딜글루코사이드, 에틸헥실글리세린, C12-20알킬글루코사이드, 니코틴아마이드아데닌다이뉴클레오타이드, 알란토인, 판테놀, 카프릴하이드록사믹애씨드, 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아이소부텐, 아데노신, 인도멀구슬나무꽃추출물, 1,2-헥산다이올, 홀리바질잎추출물, 덱스트린, 카카오추출물, 다이소듐이디티에이, 인도멀구슬나무잎추출물, 레몬밤잎추출물, 울금뿌리추출물, 레스베라트롤, 소듐하이알루로네이트, 참산호말추출물, 폴리쿼터늄-51, 카프릴릴/카프릴글루코사이드, 솔비탄올리에이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 폴리솔베이트20, 트라이펩타이드-1, 헥사펩타이드-9, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일테트라펩타이드-7",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262534&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=17
2026-09-11,oliveyoung,판매순,18,[화잘먹] 페이보릿 수분조 세럼 30ml,페이보릿,30.0,,,39000,5.0,427,세라마이드,"정제수, 프로판다이올, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 다이에톡시에틸석시네이트, 나이아신아마이드, 다이메티콘, 다이페닐다이메티콘, 트라이에틸헥사노인, 글리세릴스테아레이트, 베타인, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 올리브오일, 하이드로제네이티드레시틴, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 세테아릴알코올, 토코페롤, 폴리글리세릴-10라우레이트, 시어버터, 세라마이드엔피, 소듐스테아로일글루타메이트, 에틸헥실글리세린, 향료, 아데노신, 솔비탄아이소스테아레이트, 소듐하이알루로네이트, 다이소듐이디티에이, 다이프로필렌글라이콜, 피토스테릴/옥틸도데실라우로일글루타메이트, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 포타슘하이알루로네이트, 펜틸렌글라이콜, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260329&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=18
2026-09-12,oliveyoung,판매순,10,[9월 올영픽][대용량] 파티온 노스카나인 트러블 크림 75ml 기획(+5ml),파티온,80.0,45000.0,36%,28900,4.8,53,"세라마이드엔피, 판테놀, 알란토인","정제수, 글리세린, 메도우폼씨오일, 카프릴릭/카프릭트라이글리세라이드, 비닐다이메티콘, 다이글리세린, 폴리글리세릴-3다이스테아레이트, 세테아릴알코올, 1,2-헥산다이올, 펜틸렌글라이콜, 클로렐라 불가리스추출물, 소듐헤파린, 쑥잎추출물, 병풀추출물, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드쌀겨오일, 하이드로제네이티드레시틴, 세테아릴올리베이트, 소듐스테아로일글루타메이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-2스테아레이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아이소도데케인, 하이드록시아세토페논, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글루코오스, 솔비탄올리베이트, 글리세릴스테아레이트, 판테놀, 글리세릴스테아레이트시트레이트, 부틸렌글라이콜, 프룩토올리고사카라이드, 프룩토오스, 스테아릭애씨드, 석시닉애씨드, 다이메티콘/비닐다이메티콘크로스폴리머, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 소듐파이테이트, 솔비탄아이소스테아레이트, 폴리글리세릴-10스테아레이트, 다이프로필렌글라이콜, 세라마이드엔피, 알란토인, 베타-글루칸, 폴리글리세릴-10라우레이트, 세라마이드엔에스, 콜레스테롤, 에틸헥실글리세린, 피토스핑고신, 세라마이드에이피, 세라마이드에이에스, 스쿠알란, 세라마이드이오피, 카프릴릴/카프릴글루코사이드, 스테아릴알코올, 잔탄검",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000265234&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=10
2026-09-12,oliveyoung,판매순,23,[손상/장벽 리페어] 아벤느 시칼파트 플러스 SOS 리페어 크림 100ml 기획 (+40ml),아벤느,140.0,44000.0,29%,31400,4.7,"11,049",아벤느 온천수,"온천수 (아벤느 온천수), 카프릴릭/카프릭트라이글리세라이드, 미네랄오일, 글리세린, 하이드로제네이티드식물성오일, 징크옥사이드, 프로필렌글라이콜, 폴리글리세릴-2세스퀴이소스테아레이트, 피이지-22/도데실글라이콜코폴리머, 아쿠아필루스 돌로미아이발효여과물, 마그네슘스테아레이트, 비즈왁스, 마이크로크리스탈린왁스, 알루미늄스테아레이트, 카퍼설페이트, 마그네슘설페이트, 징크설페이트, 알지닌, 트로메타민",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200725&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=24
2026-09-12,oliveyoung,판매순,4,[1등모공앰플] 성분에디터 그린토마토 NMN 포어 리프팅 앰플 40ml 더블기획,성분에디터,80.0,,,36000,4.7,"3,622","그린토마토, 니코틴아마이드모노뉴클레오타이드","토마토수(680,000 ppm), 정제수, 부틸렌글라이콜, 글리세린, 자일리톨, 1,2-헥산다이올, 다이프로필렌글라이콜, 나이아신아마이드, 니코틴아마이드모노뉴클레오타이드(10,000 ppm), 트레할로오스, 잔탄검, 카보머, 페닐트라이메티콘, 트로메타민, 알란토인, C12-13알케스-9, 폴리메틸실세스퀴옥세인, 소듐시트레이트, 에틸헥실글리세린, 잇꽃꽃추출물, 메틸다이하이드로자스모네이트, 다이포타슘글리시리제이트, 아데노신, 다이소듐이디티에이, 치자추출물, 덱스트린, 토마토추출물(200 ppm), 에틸렌브라실레이트, 글루코노락톤, 판테놀, 2-t-부틸사이클로헥실아세테이트, 칡뿌리추출물, 달맞이꽃꽃추출물, 대왕소나무잎추출물, 당느릅나무뿌리추출물, 피브로넥틴, 니코틴아마이드아데닌다이뉴클레오타이드, 소듐하이알루로네이트, 아데노신트라이포스페이트, 하이드로제네이티드레시틴, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이모늄하이알루로네이트, 하이드로제네이티드폴리아이소부텐, 벤질글라이콜, 세라마이드엔피, 토코페롤, 하이드롤라이즈드엘라스틴, 폴리글리세릴-10라우레이트, 데이지꽃추출물, 수용성프로테오글리칸, 유채스테롤, 토마토즙(0.1 ppm), 토마토열매/잎/줄기추출물(0.1 ppm), 페네틸알코올, 하이드롤라이즈드콜라겐, 라즈베리케톤, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, 콜레스테롤, 라이소레시틴, 올레익애씨드, 글라이코사미노글리칸, 소듐클로라이드, 포타슘포스페이트, 포타슘클로라이드, 다이소듐포스페이트, 하이드롤라이즈드식물성단백질, 지모뿌리추출물, 라이코펜, 콜라겐추출물, 리날릴아세테이트, 에틸리날룰, 유칼립톨, 메틸렌다이옥시페닐메틸프로판알, 헥세닐아세테이트, 2,4-다이메틸-3-사이클로헥신카복스알데하이드, 3-헥센올",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235178&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=4
